ruta_id,nombre_ruta
228,XY8HXC
11,AMG0GS
245,6IYJIK
300,IY1YAZ
60,YA5VU9
210,Q0XMOZ
194,C6MFJ0
92,0OYDGV
157,NTF3K1
152,T8J2A0
14,PBHR03
135,8CPCJB
132,76XPPH
162,O7OQR3
312,70TYMP
227,QBQ6QT
271,5K548W
105,CVHVC0
86,H8ID3I
122,ZFC7QM
321,7R5YGB
308,VN5469
69,TWK2ZE
71,L248II
181,NTSDHY
229,XEX24O
42,PZUXC8
113,GLECPA
311,LMY0DE
115,O7MTOF
99,0FC33O
142,998DPO
49,XQ6QMN
324,8ZGVVP
151,XBHKZ2
314,JXY6NN
202,DHNAQQ
5,DTJDOT
88,U7A5XD
156,5WKRUK
2,IVQT9M
84,OIMFT2
8,Z9DVWY
121,KVFVS3
53,08WJ2A
32,MYWPY3
82,Z9K3CD
130,0F8ACU
90,NVAUJH
177,QE27HB
67,VAK51S
268,ERN3ZD
249,YSHISN
163,0DX8J2
284,0NK93O
232,5AQIX4
286,XJCAHW
179,D39FOL
87,ADUY39
168,CLMP9Z
261,MXCEKE
36,PWUA8T
72,5WQG5X
80,RYB3S9
47,KC8Y62
160,33HVQ2
188,2PEM5U
40,ZJEMX8
141,TDHVBC
126,547UP9
22,5FGXT6
299,NNK13O
263,J05NI3
306,EDJULU
199,HB98Y1
176,E5QY6A
148,GSFY17
224,QBLJD7
35,QP3D71
166,M0E2VC
159,CBCT9Z
52,QWTLFA
110,LHZ8BA
1,18KY7P
172,INYWS2
17,TIK99A
184,A4JX1P
102,FJX9RD
62,LX4Z31
221,ZTPPMK
242,QI906L
89,KEF2AH
201,FCECHM
283,Y0JJ90
66,4O7SL8
7,K5GOZD
305,RN5PVG
95,67QMBI
218,TJLV8L
138,JOGXIR
331,L5H2JJ
153,7T70C3
264,WXDI7Q
238,RAPNV8
111,GBAZ35
269,CPEQJR
237,JHLV8U
94,J0UAKI
41,4MRN2Z
119,AE7NNK
295,0WGM07
149,H07ABK
30,P1JNML
64,NHUYKH
45,M9SML5
170,8RJNOB
74,XB19B5
196,68MKO9
207,RQAS4J
223,7GVJ3W
327,NIVBRI
213,VADNG3
21,4DLT9Q
186,S7EFQ0
27,ZDG1DV
125,F71WGY
107,0MNBOM
48,T4G2CY
100,VRNJVM
243,69PTPZ
246,IDJFQ8
239,TNA65C
19,CUCU9Q
204,9UZAXU
39,Q34PN1
211,GK49N2
134,TKEQEZ
234,G4VW9B
26,B49HOM
103,MS97RE
326,MUYMAK
108,FHJOHU
29,GSXAVL
147,VHJA8G
9,TB95J3
161,9A0HFS
301,3XLBGH
270,XB3LLU
191,3PEMHF
114,Q0ZEMU
233,72V258
43,FESY8M
143,RARD48
137,4WJGOV
6,3F14TA
235,FZX3OV
3,1ZBIZ1
226,UGA3UB
51,23TZRO
106,CGIQEZ
171,9MTMR5
131,JDWRK1
322,UIQV7E
225,1YTYZ0
257,H1DOFB
128,MKSXGD
23,LC9Z05
78,6DD62K
209,QQ1Y9B
123,75GQI2
281,UB4BM2
315,99K7HE
75,8619FY
277,Q78AIJ
258,RRFFPL
68,LFTSZ8
282,7V3T0U
274,IW42AW
240,N1OP3K
93,3A7NAK
133,FD7RM3
4,3FW5YK
46,1XY0L9
318,A6DMKI
215,DIH3AP
220,0RNPEG
173,1BE5WY
313,HDZ23A
10,JX93RP
104,XQ4CKY
320,K91QGP
309,MHYOIA
208,32VJOV
275,S3YYD8
214,NACJ1T
79,AUPP3K
16,4CV43U
118,DNU0LJ
230,9EWF41
